Iteracao,Seed,Modelo,F1_Score,Accuracy,Precision,Recall,ROC_AUC,Train_Time_sec,Infer_Model_ms_per_1k,Feat_Eng_ms_per_1k,Total_Latency_ms_per_1k
9,4070,RandomForest,0.6869635606722516,0.9877972427969522,0.6540701230701476,0.7233406391211408,0.9951805481279825,173.94521570205688,0.5761276994018515,134.6299143631973,135.206042062599129,4070,XGBoost,0.7294682639203863,0.9873031320560416,0.6022768325241649,0.9247639148199258,0.9952008621485191,275.6996212005615,0.35195029185115373,134.6299143631973,134.98186465504844
9,4070,LightGBM,0.7308904084115674,0.98731515299652,0.601760233764643,0.9305814865925265,0.9952693517468968,139.19978284835815,0.8669202048850628,134.6299143631973,135.49683456808236
9,4070,CatBoost,0.7271697185432233,0.9872162306738338,0.6010213457732542,0.9203398544254133,0.9951589065992665,813.8704097270966,0.8578030511739646,134.6299143631973,135.48771741437125
9,4070,Ensemble_Stacking,0.699462608608307,0.9880111153629623,0.6525171597910371,0.7536867169954271,0.9952866171739896,6613.653190135956,2.9560733995397324,134.6299143631973,137.585987762737
10,2794,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.6202101707458496,0.0033341314211935316,134.6299143631973,134.63324849461847
10,2794,KNN,0.6311746001741748,0.9863179158093399,0.6299031167046205,0.6324512271017669,0.9662662055543173,1.5112195014953613,1267.961783367934,134.6299143631973,1402.5916977311313
10,2794,DecisionTree,0.6780137434343042,0.987549561335847,0.6503286244983661,0.7081608355656573,0.9947873782592761,72.62762117385864,0.07001084868799577,134.6299143631973,134.6999252118852710,2794,RandomForest,0.6853558151032804,0.987727871952942,0.6522174832268077,0.722041832399816,0.9951700155183687,186.49413132667542,0.583685919780644,134.6299143631973,135.21360028297792
10,2794,XGBoost,0.7278742850466544,0.9871673956031407,0.5991082746863662,0.927145060475688,0.9951512418166717,272.5062153339386,0.36082240123287196,134.6299143631973,134.99073676443015
10,2794,LightGBM,0.7289758204073856,0.9871744078184197,0.5986596782184672,0.9318126471304489,0.9952472861382289,139.96432065963745,0.8725654793026772,134.6299143631973,135.50247984249995
10,2794,CatBoost,0.7260305363851954,0.9871253223114665,0.5989396030985396,0.9215845442000162,0.9951357242252641,808.4110136032104,0.8742818643641678,134.6299143631973,135.50419622756147
10,2794,Ensemble_Stacking,0.7003049695030498,0.9879900787171252,0.6507398202132355,0.7580431312065373,0.9952642187730354,6571.776611328125,2.932403574212863,134.6299143631973,137.56231793741014
